Serial no,Country,Region,Total Area(sq Km),Population,Pop. Density (per 1sq. Km),Male per 100 female,Male Life expectency (years),Female Life expectency (years),GDP growth rate %,GDP Per Capita,HDI Tier,HDI index,HDI Growth,Gini coefficient,Unemployement rate %,Poverty percentage %,Active military personel,Paramilitary,Reserves forces,Total armed force size,Military spending,CO2 emission %,% of renewable energy in total energy consumption,
72,Guyana,South America,214969,813834,4.1343,95.8,66.36,73.33,19.9,9026,High,0.714,1.1,45.1,3.2,,3400,0,670,4070,,0,11.35,
183,Trinidad and Tobago,Caribbean,5130,1534937,299.208,97.4,71.48,78.31,-1,16033,Very High,0.81,0.66,40.3,3.2,,4050,0,0,4050,,,0.34,
139,Papua New Guinea,Oceania,462840,10329931,22.8104,106.8,63.51,69.34,1.5,2673,Medium,0.558,1.33,41.9,2.6,39.9,3600,0,0,3600,,0.02,53.09,
113,Mauritius,East Africa,2040,1300557,640.6685,97.4,72.77,78.73,4,8873,Very High,0.802,0.8,36.8,6.3,10.3,0,2550,0,2550,,0.01,8.94,
17,Belize,Central America,22966,410825,18.0107,101.2,71.7,77.89,9.8,6229,Medium,0.683,0.46,53.3,9.1,,1500,150,700,2350,,0,29.09,
109,Malta,Mediterannean,316,535064,1672.075,108.4,81.81,85.83,9.4,33642,Very High,0.918,0.74,28.7,4.3,17.1,1950,0,180,2130,,0,7.7,
98,Liberia,Western Africa,111369,5418377,56.2539,99.1,60.73,63.34,4,471,Low,0.481,,35.3,3.1,50.9,2010,0,0,2010,13000000,0,87.24,
97,Lesotho,Southern Africa,30355,2330318,76.7562,97.4,52.12,57.82,1,1040,Low,0.514,0.23,44.9,22.4,49.7,2000,0,0,2000,,0,39.47,
172,Suriname,South America,163820,623236,3.9951,99.3,69.42,76.25,-3.5,5259,High,0.73,,57.9,7.9,,1840,0,0,1840,63000000,0,14.4,
102,Luxembourg,Central Europe,2586,654768,254.3282,101.3,80.64,84.89,6.9,133745,Very High,0.93,0.54,35.4,6.8,17.5,900,600,0,1500,,0.02,16.45,
51,Equatorial Guinea,Central Africa,28051,1714671,61.1291,112,60.23,64.01,-0.9,7605,Medium,0.596,,,25,76.8,1450,0,0,1450,,0.01,6.48,
31,Cape Verde,Western Africa,4033,598682,148.4458,98.9,72.57,80.9,,3293,Medium,0.662,,,,,1200,0,0,1200,,0,,
14,Barbados,Caribbean,430,281995,655.8023,92.1,75.83,79.74,1.4,17225,High,0.79,0.28,,8.4,,610,0,430,1040,,0,4.31,
60,Gambia,Western Africa,10689,2773168,274.0285,99,62.62,65.63,5.6,772,Low,0.5,1.22,35.9,10.2,48.6,800,0,0,800,,0,49.24,
159,Seychelles,East Africa,452,107660,234.0435,111.4,71.31,79.36,1.8,12085,High,0.785,,32.1,4.3,25.3,420,0,0,420,,0,,
6,Antigua and Barbuda,Caribbean,442,94298,214.3136,91.4,76.71,81.8,5.3,15246,High,0.788,,,8.4,,180,0,80,260,,0,0.91,
77,Iceland,Northern Europe,103000,375318,3.7223,105.2,81.55,84.41,3.7,69133,Very High,0.959,0.54,26.1,5.5,8.8,0,250,0,250,,0.01,81.07,
73,Haiti,Caribbean,27750,11724763,425.4268,98.2,61.81,67.82,-1.8,1664,Low,0.535,0.71,41.1,14.1,58.5,150,50,0,200,,0.01,76.4,
4,Andorra,Western Europe,468,80088,170.4,104.4,81.6,85.97,8.9,42066,Very High,0.858,,,,,,,,,,,18.4,
19,Bhutan,SE Asia,38394,787424,20.6456,112.5,70.8,74.45,-10.1,3063,Medium,0.666,,37.4,2.5,8.2,,,,,25120000,0,82.27,
37,Comoros,East Africa,1862,852075,457.8587,100.9,62.91,67.35,2.3,1631,Medium,0.558,,45.3,8.1,42.4,,,,,,0,53.43,
46,Dominica,Caribbean,751,73040,97.3867,98.6,70.95,77.78,4.3,7571,High,0.72,0.47,,11,,,,,,,0,27.92,
54,Eswatini,South africa,17364,1210822,70.3966,98.6,53.97,61.86,7.4,3969,Medium,0.597,,54.6,22.7,58.9,,,,,,0,65.95,
56,Faroe Islands,Northern Europe,1393,53270,38.9971,107.3,77.49,80.86,,,,,,,3.7,,,,,,,0,5.4,
65,Greenland,North America,2166086,56643,0.138,111,70.23,76.09,0.4,58185,,,,,9.1,,,,,,,0,12.6,
66,Grenada,Caribbean,344,126183,371.1265,100.2,72.74,78.45,5.3,8950,High,0.795,,,22.9,,,,,,,0,10.37,
67,Guadeloupe,Caribbean,1628,395839,243.1443,82.7,79.68,86.43,,,,,,,,,,,,,,0,,
68,Guam,Oceania,549,172952,320.2815,101.4,75.06,82.2,-11.9,,,,,,5.4,,,,,,,,3.02,
75,Hong Kong,SE Asia,1104,7491609,7134.8657,85.6,83,88.66,6.4,49259,Very High,0.952,0.61,,5.8,,,,,,,0.09,0.23,
91,Kiribati,Oceania,811,133515,164.8333,94.8,65.88,69.59,-0.5,1765,Medium,0.624,,37,8.6,21.8,,,,,,0,,
99,Libya,Northern Europe,1759540,6888388,3.9149,102.5,70.23,76.54,31.4,5791,High,0.718,0.24,,19,,,,,,3000000000,0.15,2.8,
100,Liechtenstein,Central Europe,160,39584,247.4,98.3,83.16,86.23,-1.2,169260,Very High,0.935,,,2,,,,,,,,56.13,
103,Macau,SE Asia,32.9,704149,21402.7052,88.5,82.88,88.11,18,43555,,,,,2.6,,,,,,,0.01,,
107,Maldives,SE Asia,300,521021,1736.7367,136.3,80.3,82.06,31,10366,High,0.747,,31.3,5.3,8.2,,,,,,0,1.11,
110,Marshall Islands,Oceania,181,41996,233.3111,104.4,63.65,67.25,-2.5,6111,Medium,0.639,,,6.4,,,,,,,,11.7,
111,Martinique,Caribbean,1128,366981,325.3378,85.4,80.44,86.09,,,,,,,,,,,,,,0,,
115,Micronesia,Oceania,702,115224,164.6057,101.2,67.72,75.18,-3.2,3573,Medium,0.628,,40.1,8.9,41.2,,,,,,,1.78,
117,Monaco,Mediterannean,2.02,36297,18148.5,96.1,85.17,88.99,-11.8,234317,not rated,,,,6.3,,,,,,,,,
124,Nauru,Oceania,21,12780,639,103.4,60.67,68.01,1.5,12390,not rated,,,34.8,13.3,,,,,,,,0.61,
136,Palau,Oceania,459,18058,39.2565,108.5,62.36,69.5,-9.7,12084,High,0.767,,,1.4,24.9,,,,,,0,0.29,
137,Palestine,Middle East,6220,5371230,892.2309,99.5,71.91,76.67,7.1,3514,High,0.715,,33.7,,29.2,,,,,,,13.86,
150,Saint Kitts and Nevis,Caribbean,261,47755,183.6731,93.6,68.81,75.82,-1,18083,High,0.777,,,5.1,,,,,,,0,1.58,
151,Saint Lucia,Caribbean,616,180251,295.4934,98,70.74,77.68,6.6,9824,High,0.715,0.11,51.2,15.3,25,,,,,,0,,
152,Saint Vincent and the Grenadines,Caribbean,389,103698,265.8923,104.1,,,0.7,8440,,,,,18.8,,,,,,,0,5.68,
153,Samoa,Oceania,2842,225681,81.1802,104,70.28,75.5,-8.1,3919,High,0.707,,38.7,14.5,20.3,,,,,,0,34.21,
154,San Marino,Mediterannean,61,33642,560.7,94.8,82.21,84.85,-6.6,50425,Very High,0.853,,,5.8,,,,,,,,,
155,Sao Tome and Principe,Central Africa,964,231856,241.5167,99.6,66.13,72.04,1.8,2486,Medium,0.618,0.78,56.3,13.6,66.7,,,,,,0,37.09,
164,Solomon Islands,Oceania,28896,740424,26.4532,104.5,69.38,72.51,-0.2,2306,Medium,0.564,,37.1,0.7,12.7,,,,,,0,48.39,
180,Timor-Leste,SE Asia,14874,1360596,91.4994,104.1,,,4.4,1517,,,,28.7,4.7,41.8,,,,,,0,11.67,
182,Tonga,Oceania,747,107773,149.6847,97.9,68.68,74.28,0.7,4451,High,0.745,0.47,37.6,3.1,22.5,,,,,,0,1.77,
187,Tuvalu,Oceania,26,11396,379.8667,105.6,61.32,69.57,3,5370,Medium,0.641,0.44,39.1,8.5,26.3,,,,,,,8.2,
195,Vanuatu,Oceania,12189,334506,27.441,101.2,68.48,73.27,0.5,3073,Medium,0.607,,37.6,7.9,12.7,,,,,,0,,
196,Vatican City,Mediterannean,0.44,518,1177.2727,,82.17,86.03,,,,,,,,,,,,,,,,
